,time,p,input,discounted_p
0,0,0.331611730278896,0.0,6.39199695718258
1,1,0.7296744265432012,1.0,0.7296744265432012
2,2,0.7847893070804,1.0,0.7847893070804
3,3,0.7287456883308447,1.0,0.7287456883308447
4,4,0.575352950511299,1.0,0.575352950511299
5,5,0.8653526881478868,1.0,0.8653526881478868
6,6,0.6528023950966803,1.0,0.6528023950966803
7,7,0.4262499519922863,0.0,0.4262499519922863
8,8,0.37688554400053276,0.0,0.37688554400053276
9,9,0.7816370560023099,1.0,0.7816370560023099
10,10,0.8868030153868595,1.0,0.8868030153868595
11,11,0.4936315173334457,1.0,0.4936315173334457
12,12,0.8802873327375157,0.0,0.8802873327375157
13,13,0.9525069533155269,1.0,0.9525069533155269
14,14,0.6027851268297382,0.0,0.6027851268297382
15,15,0.8739110188429641,1.0,0.8739110188429641
16,16,0.8690260441456595,1.0,0.8690260441456595
17,17,0.7456212036116692,0.0,0.7456212036116692
18,18,0.4990054015128951,1.0,0.4990054015128951
19,19,0.866879288523838,1.0,0.866879288523838
20,20,0.34072987374404373,0.0,0.34072987374404373
21,21,0.47312224800793024,1.0,0.47312224800793024
22,22,0.9149097844712755,1.0,0.9149097844712755
23,23,0.6816650876446573,0.0,0.6816650876446573
24,24,0.0818354936821607,0.0,0.0818354936821607
25,25,0.3667420716675528,0.0,0.3667420716675528
26,26,0.33578412329444574,1.0,0.33578412329444574
27,27,0.3811677395032772,1.0,0.3811677395032772
28,28,0.6656630572935585,1.0,0.6656630572935585
29,29,0.4733505642215613,0.0,0.4733505642215613
30,30,0.22860435993252215,1.0,0.22860435993252215
31,31,0.3888716149330884,0.0,0.3888716149330884
32,32,0.5021608770464732,0.0,0.5021608770464732
33,33,0.5723876525789114,1.0,0.5723876525789114
34,34,0.5847540394751525,1.0,0.5847540394751525
35,35,0.6172597393632107,1.0,0.6172597393632107
36,36,0.530269894272684,1.0,0.530269894272684
37,37,0.3675497634557795,1.0,0.3675497634557795
38,38,0.9669009410386837,1.0,0.9669009410386837
39,39,0.0024719627366501795,0.0,0.0024719627366501795
40,40,0.6983592670304822,1.0,0.6983592670304822
41,41,0.9109502979383338,0.0,0.9109502979383338
42,42,0.6269457246586474,1.0,0.6269457246586474
43,43,0.07132653939803801,0.0,0.07132653939803801
44,44,0.19213550921045341,0.0,0.19213550921045341
45,45,0.5262387085143985,1.0,0.5262387085143985
46,46,0.6466525896225052,1.0,0.6466525896225052
47,47,0.10754675249191559,0.0,0.10754675249191559
48,48,0.9309938144679161,0.0,0.9309938144679161
49,49,0.3769931154439471,0.0,0.3769931154439471
50,50,0.42100402716002194,0.0,0.42100402716002194
51,51,0.205065448838472,0.0,0.205065448838472
52,52,0.15042300470876502,0.0,0.15042300470876502
53,53,0.9633115394458699,1.0,0.9633115394458699
54,54,0.42252958652178285,1.0,0.42252958652178285
55,55,0.22750073497368983,0.0,0.22750073497368983
56,56,0.19365587692821773,0.0,0.19365587692821773
57,57,0.847775749163473,0.0,0.847775749163473
58,58,0.938443156153531,1.0,0.938443156153531
59,59,0.7967174406874776,1.0,0.7967174406874776
60,60,0.5462508961557011,1.0,0.5462508961557011
61,61,0.7917961644846331,0.0,0.7917961644846331
62,62,0.7068410077491826,1.0,0.7068410077491826
63,63,0.13537529977140317,0.0,0.13537529977140317
64,64,0.9784401513489313,0.0,0.9784401513489313
65,65,0.40085989650264164,1.0,0.40085989650264164
66,66,0.4346920613792047,0.0,0.4346920613792047
67,67,0.4763859083152544,1.0,0.4763859083152544
68,68,0.5965016670435519,0.0,0.5965016670435519
69,69,0.4517914791891259,0.0,0.4517914791891259
70,70,0.28178818016851104,0.0,0.28178818016851104
71,71,0.9324919731352415,1.0,0.9324919731352415
72,72,0.572580541646091,1.0,0.572580541646091
73,73,0.4193019004262837,1.0,0.4193019004262837
74,74,0.6907455293280382,1.0,0.6907455293280382
75,75,0.35233704123085574,1.0,0.35233704123085574
76,76,0.261207077292696,0.0,0.261207077292696
77,77,0.1023112469745695,0.0,0.1023112469745695
78,78,0.44543634500713325,1.0,0.44543634500713325
79,79,0.846406019372958,1.0,0.846406019372958
80,80,0.7836529324863761,1.0,0.7836529324863761
81,81,0.3957752070286533,0.0,0.3957752070286533
82,82,0.02247636554657051,0.0,0.02247636554657051
83,83,0.5823142736063981,1.0,0.5823142736063981
84,84,0.009860893430682971,0.0,0.009860893430682971
85,85,0.8708909289249291,1.0,0.8708909289249291
86,86,0.025251401611175894,0.0,0.025251401611175894
87,87,0.776824148756927,1.0,0.776824148756927
88,88,0.534465737545562,0.0,0.534465737545562
89,89,0.5026633114840954,0.0,0.5026633114840954
90,90,0.8285857977140356,1.0,0.8285857977140356
91,91,0.0025940998061909637,0.0,0.0025940998061909637
92,92,0.1362700800745149,0.0,0.1362700800745149
93,93,0.3153529728919594,0.0,0.3153529728919594
94,94,0.5330214452065175,0.0,0.5330214452065175
95,95,0.29588349183180473,0.0,0.29588349183180473
96,96,0.8629161960544547,1.0,0.8629161960544547
97,97,0.42579102840603844,0.0,0.42579102840603844
98,98,0.8031384141488641,1.0,0.8031384141488641
99,99,0.2880929245020105,0.0,0.2880929245020105
100,100,0.15246281953850627,0.0,0.15246281953850627
101,101,0.25863724093040386,0.0,0.25863724093040386
102,102,0.7606654373293388,1.0,0.7606654373293388
103,103,0.03802363479047266,0.0,0.03802363479047266
104,104,0.5214263331444493,0.0,0.5214263331444493
105,105,0.7963209184468041,1.0,0.7963209184468041
