,time,p,input
0,0,0.0,0.0
1,1,9.869571931435076e-06,0.0
2,2,3.947789809193986e-05,0.0
3,3,8.88238095954951e-05,0.0
4,4,0.0001579053583500084,0.0
5,5,0.00024671981713422146,0.0
6,6,0.0003552636797053762,0.0
7,7,0.00048353266093763525,0.0
8,8,0.0006315216969912512,0.0
9,9,0.0007992249455124782,0.0
10,10,0.000986635785864219,0.0
11,11,0.0011937468193873953,0.0
12,12,0.001420549869693034,0.0
13,13,0.001667035982985058,0.0
14,14,0.0019331954284137678,0.0
15,15,0.002219017698459994,0.0
16,16,0.0025244915093499214,0.0
17,17,0.002849604801500553,0.0
18,18,0.0031943447399957955,0.0
19,19,0.0035586977150931683,0.0
20,20,0.003942649342761085,0.0
21,21,0.004346184465246716,0.0
22,22,0.00476928715167439,0.0
23,23,0.005211940698674513,0.0
24,24,0.005674127631042996,0.0
25,25,0.0061558297024311365,0.0
26,26,0.006657027896065963,0.0
27,27,0.007177702425500985,0.0
28,28,0.007717832735397311,0.0
29,29,0.00827739750233516,0.0
30,30,0.00885637463565566,0.0
31,31,0.009454741278332957,0.0
32,32,0.010072473807876568,0.0
33,33,0.010709547837263949,0.0
34,34,0.01136593821590327,0.0
35,35,0.0120416190306263,0.0
36,36,0.012736563606711425,0.0
37,37,0.013450744508936718,0.0
38,38,0.014184133542663034,0.0
39,39,0.01493670175494708,0.0
40,40,0.015708419435684445,0.0
41,41,0.016499256118782477,0.0
42,42,0.01730918058336306,0.0
43,43,0.018138160854995145,0.0
44,44,0.01898616420695706,0.0
45,45,0.019853157161528464,0.0
46,46,0.020739105491312058,0.0
47,47,0.021643974220584755,0.0
48,48,0.022567727626678524,0.0
49,49,0.02351032924139059,0.0
50,50,0.024471741852423214,0.0
51,51,0.025451927504852704,0.0
52,52,0.026450847502627852,0.0
53,53,0.02746846241009758,0.0
54,54,0.028504732053567773,0.0
55,55,0.029559615522887266,0.0
56,56,0.030633071173062965,0.0
57,57,0.03172505662590383,0.0
58,58,0.032835528771693975,0.0
59,59,0.03396444377089452,0.0
60,60,0.0351117570558743,0.0
61,61,0.03627742333266934,0.0
62,62,0.03746139658277098,0.0
63,63,0.03866363006494259,0.0
64,64,0.03988407631706484,0.0
65,65,0.04112268715800943,0.0
66,66,0.04237941368954122,0.0
67,67,0.04365420629824859,0.0
68,68,0.044947014657502164,0.0
69,69,0.04625778772944153,0.0
70,70,0.04758647376699023,0.0
71,71,0.04893302031589858,0.0
72,72,0.050297374216814475,0.0
73,73,0.05167948160738207,0.0
74,74,0.053079287924368106,0.0
75,75,0.05449673790581607,0.0
76,76,0.05593177559322775,0.0
77,77,0.0573843443337724,0.0
78,78,0.05885438678252336,0.0
79,79,0.06034184490472187,0.0
80,80,0.06184665997806821,0.0
81,81,0.06336877259503991,0.0
82,82,0.06490812266523716,0.0
83,83,0.06646464941775497,0.0
84,84,0.06803829140358235,0.0
85,85,0.06962898649802816,0.0
86,86,0.07123667190317387,0.0
87,87,0.07286128415035244,0.0
88,88,0.07450275910265407,0.0
89,89,0.0761610319574584,0.0
90,90,0.07783603724899248,0.0
91,91,0.07952770885091548,0.0
92,92,0.08123597997892913,0.0
93,93,0.08296078319341442,0.0
94,94,0.08470205040209366,0.0
95,95,0.08645971286271911,0.0
96,96,0.08823370118578629,0.0
97,97,0.09002394533727384,0.0
98,98,0.091830374641408,0.0
