time,input_label,softmax_value,prediction_accuracy
0,1,0.999170184135437,1.0
1,6,0.9999927282333374,1.0
2,3,0.9999823570251465,1.0
3,9,0.9999440908432007,1.0
4,2,0.9961785078048706,1.0
5,2,0.9943285584449768,1.0
6,7,0.9997614026069641,1.0
7,9,0.3842518627643585,0.0
8,4,0.9977236390113831,1.0
9,3,0.9999582767486572,1.0
10,4,0.9879871010780334,1.0
11,9,0.9997126460075378,1.0
12,2,0.999996542930603,1.0
13,2,0.9999971389770508,1.0
14,8,0.9999244213104248,1.0
15,4,0.9655290246009827,1.0
16,9,0.9569787979125977,1.0
17,7,0.999885082244873,1.0
18,6,0.9999868869781494,1.0
19,2,0.9976928234100342,1.0
20,2,0.9909193515777588,1.0
21,5,0.9981004595756531,1.0
22,4,0.9996839761734009,1.0
23,4,0.9999140501022339,1.0
24,9,0.9996055960655212,1.0
25,0,0.829495370388031,1.0
26,8,0.9999908208847046,1.0
27,3,0.9215390682220459,1.0
28,7,0.9996768236160278,1.0
29,4,0.999990701675415,1.0
30,4,0.9990474581718445,1.0
31,5,0.9999984502792358,1.0
32,5,0.9997708201408386,1.0
33,1,0.9947578310966492,1.0
34,0,0.9999986886978149,1.0
35,9,0.9997579455375671,1.0
36,1,0.993411123752594,1.0
37,4,0.9999744892120361,1.0
38,3,0.9999865293502808,1.0
39,8,0.9999903440475464,1.0
40,8,0.9983317255973816,1.0
41,2,0.9999809265136719,1.0
42,5,0.997637152671814,1.0
43,6,0.999925971031189,1.0
44,0,0.9996976852416992,1.0
45,6,0.999967098236084,1.0
46,2,0.9999247789382935,1.0
47,6,0.9999881982803345,1.0
48,8,0.9999922513961792,1.0
49,6,0.9989163875579834,1.0
50,6,0.9215250015258789,1.0
51,3,0.9998730421066284,1.0
52,7,0.9999523162841797,1.0
53,8,0.9998134970664978,1.0
54,6,0.9993938207626343,1.0
55,2,0.9997918009757996,1.0
56,1,0.990401566028595,1.0
57,9,0.9997366070747375,1.0
