time,input_label,softmax_value,prediction_accuracy
0,7,0.9999203681945801,1.0
1,3,0.9999927282333374,1.0
2,9,0.999875545501709,1.0
3,9,0.9998353719711304,1.0
4,5,0.9999947547912598,1.0
5,9,0.9999756813049316,1.0
6,0,0.9991822838783264,1.0
7,0,0.9994927644729614,1.0
8,9,0.9560290575027466,1.0
9,5,0.9976116418838501,1.0
10,4,0.9999576807022095,1.0
11,1,0.9955754280090332,1.0
12,8,0.9995673298835754,1.0
13,9,0.9959508180618286,1.0
14,2,0.9999902248382568,1.0
15,1,0.9979598522186279,1.0
16,5,0.9999979734420776,1.0
17,6,0.9999376535415649,1.0
18,5,0.9746497869491577,1.0
19,6,0.9997021555900574,1.0
20,6,0.9995129108428955,1.0
21,2,0.9981812238693237,1.0
22,9,0.9987691044807434,1.0
23,8,0.9699642658233643,1.0
24,4,0.9999990463256836,1.0
25,4,0.9712737798690796,1.0
26,5,0.9723511934280396,1.0
27,1,0.6741332411766052,0.0
28,9,0.9974105954170227,1.0
29,3,0.9998021721839905,1.0
30,5,0.9978591799736023,1.0
31,6,0.9951938986778259,1.0
32,3,0.9999983310699463,1.0
33,5,0.999977707862854,1.0
34,1,0.9133545160293579,1.0
35,6,0.9978994131088257,1.0
36,0,0.9999390840530396,1.0
37,5,0.991549015045166,1.0
38,2,0.9996486902236938,1.0
39,4,0.9991703033447266,1.0
40,4,0.9951275587081909,1.0
41,7,0.9997830986976624,1.0
42,6,0.9997039437294006,1.0
43,1,0.995517909526825,1.0
44,5,0.9999938011169434,1.0
45,9,0.9976372718811035,1.0
46,1,0.9820955991744995,1.0
47,5,0.9999814033508301,1.0
48,4,0.9987947940826416,1.0
49,2,0.9995169639587402,1.0
50,2,0.9999233484268188,1.0
51,6,0.9999715089797974,1.0
52,9,0.998828113079071,1.0
53,8,0.9994074106216431,1.0
54,8,0.9999926090240479,1.0
55,1,0.994464099407196,1.0
56,5,0.9999997615814209,1.0
57,3,0.9999995231628418,1.0
58,6,0.9910316467285156,1.0
59,8,0.9990909099578857,1.0
60,8,0.9989928603172302,1.0
61,1,0.9995482563972473,1.0
62,7,0.9984360337257385,1.0
63,8,0.9999728202819824,1.0
64,8,0.9997318387031555,1.0
65,4,0.9987549781799316,1.0
66,1,0.998734176158905,1.0
67,3,0.9996041655540466,1.0
68,2,0.9990357160568237,1.0
69,5,0.9868018627166748,1.0
70,9,0.9994828701019287,1.0
71,8,0.9993785619735718,1.0
72,5,0.9999874830245972,1.0
73,2,0.9999995231628418,1.0
74,0,0.9864665865898132,1.0
75,0,0.9998428821563721,1.0
76,9,0.9362419247627258,1.0
77,3,0.9997947812080383,1.0
78,7,0.9999114274978638,1.0
79,9,0.999901294708252,1.0
80,1,0.9945336580276489,1.0
81,3,1.0,1.0
82,0,0.9999381303787231,1.0
83,6,0.9999809265136719,1.0
84,0,0.9660662412643433,1.0
85,3,0.9993684887886047,1.0
86,2,0.9832004308700562,1.0
87,1,0.9984059929847717,1.0
88,0,0.9994088411331177,1.0
89,0,0.9993396401405334,1.0
90,1,0.996155321598053,1.0
91,4,0.999868631362915,1.0
92,1,0.9974340796470642,1.0
93,8,0.9999819993972778,1.0
94,9,0.9997169375419617,1.0
95,7,0.9770629405975342,1.0
96,3,0.999996542930603,1.0
97,1,0.9977085590362549,1.0
98,5,0.9999904632568359,1.0
99,7,0.9985325336456299,1.0
100,6,0.9999947547912598,1.0
101,1,0.961816668510437,1.0
102,6,0.9935969114303589,1.0
103,6,0.9981858134269714,1.0
104,5,0.9932535290718079,1.0
105,5,0.8668028712272644,1.0
106,7,0.99974125623703,1.0
107,6,0.9643111228942871,1.0
108,4,0.9989307522773743,1.0
109,3,0.9999942779541016,1.0
110,0,0.9999805688858032,1.0
111,5,0.9999998807907104,1.0
112,6,0.9999632835388184,1.0
113,6,0.9975324869155884,1.0
114,6,0.9998905658721924,1.0
115,3,0.9988996982574463,1.0
116,4,0.9999955892562866,1.0
117,9,0.9999386072158813,1.0
118,3,0.9999343156814575,1.0
119,2,0.9994874000549316,1.0
120,4,0.9998824596405029,1.0
121,1,0.9749764800071716,1.0
122,4,0.7427579760551453,1.0
123,7,0.9999150037765503,1.0
124,0,0.9998170733451843,1.0
125,2,0.7252383232116699,1.0
126,3,0.9967569708824158,1.0
127,2,0.9999146461486816,1.0
128,7,0.9956087470054626,1.0
129,7,0.9997567534446716,1.0
130,4,0.9999817609786987,1.0
131,3,0.9999922513961792,1.0
132,2,0.9999850988388062,1.0
133,7,0.9999891519546509,1.0
134,9,0.9986535310745239,1.0
135,9,0.957639753818512,1.0
136,2,0.993219792842865,1.0
137,9,0.996394693851471,1.0
138,5,0.9999990463256836,1.0
139,3,0.9987836480140686,1.0
140,3,0.9996562004089355,1.0
141,2,0.9999895095825195,1.0
142,6,0.9998722076416016,1.0
143,1,0.9965274930000305,1.0
144,2,0.9999158382415771,1.0
145,0,0.9998788833618164,1.0
146,5,0.9972932934761047,1.0
147,3,0.9796580076217651,1.0
148,7,0.9999510049819946,1.0
149,8,0.9999971389770508,1.0
150,8,0.999415397644043,1.0
151,5,0.9999997615814209,1.0
152,4,0.999736487865448,1.0
153,3,0.99997878074646,1.0
154,0,0.9996923208236694,1.0
155,6,0.9999963045120239,1.0
156,8,0.9996232986450195,1.0
157,5,0.9999960660934448,1.0
158,8,0.9994180202484131,1.0
159,2,0.9999890327453613,1.0
160,9,0.9981934428215027,1.0
161,2,0.9364233016967773,1.0
162,0,0.9955278038978577,1.0
163,5,0.9999750852584839,1.0
164,1,0.9987840056419373,1.0
165,3,0.9994069337844849,1.0
166,2,0.8784040212631226,1.0
167,8,0.9998169541358948,1.0
168,7,0.9998966455459595,1.0
169,9,0.9999334812164307,1.0
170,2,0.9973662495613098,1.0
171,4,0.9999536275863647,1.0
172,3,0.9999996423721313,1.0
173,3,0.9999902248382568,1.0
174,7,0.9976759552955627,1.0
175,2,0.9879645109176636,1.0
176,1,0.9973684549331665,1.0
177,8,0.9999872446060181,1.0
178,6,0.9997535347938538,1.0
179,3,0.7862987518310547,1.0
180,0,0.9999637603759766,1.0
181,4,0.9997486472129822,1.0
182,7,0.9980377554893494,1.0
183,4,0.9996991157531738,1.0
184,8,0.999984860420227,1.0
185,2,0.9999203681945801,1.0
186,6,0.9808753728866577,1.0
187,8,0.9967629909515381,1.0
188,3,0.9997205138206482,1.0
189,0,0.9999550580978394,1.0
190,7,0.9990816116333008,1.0
191,7,0.9981974959373474,1.0
192,4,0.9981620907783508,1.0
193,2,0.9999216794967651,1.0
194,8,0.9756419062614441,1.0
195,2,0.9986104965209961,1.0
196,4,0.9999767541885376,1.0
197,9,0.9241254329681396,0.0
198,1,0.9984696507453918,1.0
199,4,0.9998704195022583,1.0
200,3,0.9999474287033081,1.0
201,0,0.9999861717224121,1.0
202,7,0.9984099864959717,1.0
203,2,0.9999897480010986,1.0
204,1,0.5064964890480042,0.0
205,9,0.9992986917495728,1.0
206,8,0.9998412132263184,1.0
207,3,0.9998013377189636,1.0
208,9,0.9975265860557556,1.0
209,1,0.993290901184082,1.0
210,5,0.9999935626983643,1.0
211,6,0.9999566078186035,1.0
212,0,0.9998018145561218,1.0
213,3,0.9990323781967163,1.0
214,6,0.999843955039978,1.0
215,4,0.9989666938781738,1.0
216,1,0.9976329803466797,1.0
217,1,0.998845100402832,1.0
218,0,0.992182195186615,1.0
219,5,0.9909592866897583,1.0
220,7,0.9994751811027527,1.0
221,9,0.9984489679336548,1.0
222,3,0.9541035294532776,1.0
223,0,0.9995012283325195,1.0
224,3,0.9998877048492432,1.0
225,6,0.9995338916778564,1.0
226,2,0.9733849167823792,1.0
227,2,0.9994943141937256,1.0
228,0,0.9979800581932068,1.0
229,4,0.9998849630355835,1.0
230,9,0.9999302625656128,1.0
231,6,0.9987937211990356,1.0
232,2,0.9999997615814209,1.0
233,5,0.9996939897537231,1.0
234,5,0.9997943043708801,1.0
235,7,0.9999626874923706,1.0
236,2,0.9993975162506104,1.0
237,9,0.9999500513076782,1.0
238,0,0.9998332262039185,1.0
239,0,0.9996901750564575,1.0
240,9,0.9993267059326172,1.0
241,0,0.9994243383407593,1.0
242,5,0.9999960660934448,1.0
243,5,0.9940741658210754,1.0
244,1,0.9994743466377258,1.0
245,3,0.9849041700363159,1.0
246,5,0.9993826150894165,1.0
247,7,0.9999173879623413,1.0
248,7,0.9996761083602905,1.0
249,4,0.9994394183158875,1.0
250,6,0.9999847412109375,1.0
251,5,0.9999808073043823,1.0
252,5,0.9972221851348877,1.0
253,0,0.9996874332427979,1.0
254,8,0.9998019337654114,1.0
255,9,0.9999309778213501,1.0
256,9,0.9996116757392883,1.0
257,1,0.9992290735244751,1.0
258,9,0.9992827773094177,1.0
259,4,0.9592381715774536,1.0
260,7,0.9787985682487488,1.0
261,4,0.8416193127632141,0.0
262,8,0.999945878982544,1.0
263,4,0.9877705574035645,1.0
264,6,0.9999195337295532,1.0
265,3,0.9999198913574219,1.0
266,4,0.9997523427009583,1.0
267,1,0.9984703660011292,1.0
268,9,0.9998382329940796,1.0
269,0,0.9999595880508423,1.0
270,4,0.999994158744812,1.0
271,7,0.9991002082824707,1.0
272,5,0.9999233484268188,1.0
273,9,0.9998633861541748,1.0
274,9,0.9998964071273804,1.0
275,8,0.9999576807022095,1.0
276,8,0.9995303153991699,1.0
277,8,0.9999423027038574,1.0
278,2,0.994788408279419,1.0
279,2,0.999775230884552,1.0
280,9,0.9997137188911438,1.0
281,9,0.9991044402122498,1.0
282,7,0.9998014569282532,1.0
