t,input_label,softmax_value,prediction_accuracy
0,0,0.9998390674591064,1.0
1,5,0.9797403216362,1.0
2,3,0.9964138865470886,1.0
3,3,0.9999574422836304,1.0
4,5,0.9953558444976807,1.0
5,4,0.9999902248382568,1.0
6,9,0.9958086013793945,1.0
7,1,0.9753036499023438,1.0
8,4,0.9959805011749268,1.0
9,3,0.999757707118988,1.0
10,0,0.9999071359634399,1.0
11,3,0.9999680519104004,1.0
12,3,0.9999538660049438,1.0
13,4,0.9999039173126221,1.0
14,3,0.9999281167984009,1.0
15,3,0.9999997615814209,1.0
16,4,0.9999921321868896,1.0
17,8,0.9791962504386902,1.0
18,7,0.999619722366333,1.0
19,7,0.9999951124191284,1.0
20,8,0.9999834299087524,1.0
21,8,0.9984681010246277,1.0
22,7,0.8761554956436157,1.0
23,5,0.999396562576294,1.0
24,6,0.999278724193573,1.0
25,1,0.9990880489349365,1.0
26,6,0.9999865293502808,1.0
27,3,0.9999935626983643,1.0
28,8,0.9990460276603699,1.0
29,4,0.9845147132873535,1.0
30,7,0.9987117052078247,1.0
31,6,0.999996542930603,1.0
32,5,0.9881229996681213,1.0
33,0,0.9999842643737793,1.0
34,5,0.862373948097229,1.0
35,0,0.9999359846115112,1.0
36,0,0.9945409893989563,1.0
37,7,0.9999407529830933,1.0
38,2,0.9999986886978149,1.0
39,3,0.9999972581863403,1.0
40,9,0.9993017911911011,1.0
41,4,0.9999995231628418,1.0
42,7,0.9959872364997864,1.0
43,4,0.999961256980896,1.0
44,1,0.9980619549751282,1.0
45,4,0.9998447895050049,1.0
46,2,0.9999908208847046,1.0
47,1,0.9947073459625244,1.0
48,8,0.9976873397827148,1.0
49,9,0.999698281288147,1.0
50,5,0.9999715089797974,1.0
51,2,0.9999980926513672,1.0
52,9,0.9993687272071838,1.0
53,2,0.9999188184738159,1.0
54,9,0.9998533725738525,1.0
55,9,0.9997902512550354,1.0
56,2,0.999993085861206,1.0
57,0,0.9999104738235474,1.0
58,8,0.9999562501907349,1.0
59,8,0.9995847344398499,1.0
60,3,0.9989150762557983,1.0
61,6,0.9998940229415894,1.0
62,5,0.9998538494110107,1.0
63,0,0.9971889853477478,1.0
64,8,0.9999884366989136,1.0
65,0,0.9978066086769104,1.0
66,9,0.99991774559021,1.0
67,6,0.9999517202377319,1.0
68,8,0.9999089241027832,1.0
69,6,0.9999911785125732,1.0
70,6,0.7534773349761963,1.0
71,3,0.9999957084655762,1.0
72,0,0.989061713218689,1.0
73,2,0.9994606375694275,1.0
74,5,0.9999966621398926,1.0
75,7,0.9995421171188354,1.0
76,1,0.9985639452934265,1.0
77,6,0.9984244108200073,1.0
78,1,0.9972242116928101,1.0
79,3,0.9998494386672974,1.0
80,3,0.999815046787262,1.0
81,6,0.9914284348487854,1.0
82,4,0.99934321641922,1.0
83,4,0.9999923706054688,1.0
84,9,0.9883331656455994,1.0
85,3,0.9999735355377197,1.0
86,5,0.9999994039535522,1.0
